CNT;TEMP;PRES;resitance
12190;11,65;1243,31;3694
12191;11,62;1242,85;3725
12192;11,62;1243,66;3622
12193;11,65;1243,72;3715
12194;11,65;1243,17;3714
12195;11,62;1243,53;3635
12196;11,62;1243,25;3731
12197;11,62;1242,71;3728
12198;11,62;1243,25;3659
12199;11,62;1244,07;3647
12200;11,62;1244,20;3670
12201;11,62;1243,39;3712
12202;11,62;1243,39;3680
12203;11,62;1243,66;3696
12204;11,62;1243,66;3697
12205;11,62;1243,93;3660
12206;11,65;1243,85;3696
12207;11,62;1243,53;3678
12208;11,62;1243,39;3696
12209;11,62;1243,80;3680
12210;11,62;1244,07;3663
12211;11,62;1243,93;3712
12212;11,62;1243,93;3685
12213;11,62;1243,80;3706
12214;11,62;1243,66;3734
12215;11,62;1243,53;3687
12216;11,62;1243,66;3697
12217;11,62;1243,53;3719
12218;11,62;1244,07;3621
12219;11,62;1244,61;3696
12220;11,62;1243,25;3713
12221;11,62;1243,53;3650
12222;11,62;1244,47;3647
12223;11,62;1244,20;3685
12224;11,62;1243,93;3678
12225;11,60;1244,15;3662
12226;11,62;1244,07;3697
12227;11,62;1243,80;3693
12228;11,62;1244,20;3634
12229;11,62;1244,34;3703
12230;11,62;1243,93;3719
12231;11,62;1244,20;3666
12232;11,62;1244,47;3713
12233;11,60;1243,88;3716
12234;11,60;1244,15;3658
12235;11,60;1244,42;3664
12236;11,62;1244,47;3695
12237;11,62;1244,47;3677
12238;11,62;1244,07;3713
12239;11,62;1243,93;3731
12240;11,60;1244,42;3632
12241;11,60;1244,83;3718
12242;11,62;1243,93;3729
12243;11,60;1244,15;3637
12244;11,62;1244,88;3712
12245;11,62;1244,34;3714
12246;11,60;1244,56;3646
12247;11,62;1244,75;3723
12248;11,60;1244,28;3692
12249;11,62;1244,47;3674
12250;11,62;1245,02;3686
12251;11,62;1244,47;3718
12252;11,60;1243,88;3719
12253;11,62;1244,47;3661
12254;11,60;1244,96;3678
12255;11,62;1244,88;3709
12256;11,60;1244,42;3665
12257;11,62;1244,88;3663
12258;11,60;1245,10;3679
12259;11,62;1245,02;3681
12260;11,62;1244,47;3694
12261;11,62;1244,47;3667
12262;11,60;1244,96;3651
12263;11,62;1245,42;3658
12264;11,60;1244,69;3686
12265;11,60;1244,56;3675
12266;11,62;1244,88;3671
12267;11,60;1245,37;3666
12268;11,62;1245,29;3718
12269;11,60;1244,69;3703
12270;11,60;1244,56;3702
12271;11,60;1244,83;3693
12272;11,60;1244,96;3686
12273;11,60;1244,69;3727
12274;11,60;1244,83;3635
12275;11,60;1245,64;3654
12276;11,60;1245,37;3725
12277;11,60;1244,96;3664
12278;11,60;1245,10;3691
12279;11,60;1244,56;3747
12280;11,60;1244,69;3648
12281;11,60;1245,50;3661
12282;11,62;1245,42;3717
12283;11,60;1244,69;3701
12284;11,60;1244,96;3687
12285;11,60;1245,23;3689
12286;11,62;1245,56;3677
12287;11,62;1245,56;3664
12288;11,60;1245,50;3728
12289;11,60;1244,96;3703
12290;11,60;1244,83;3702
12291;11,60;1245,10;3693
12292;11,60;1245,50;3687
12293;11,60;1245,50;3691
12294;11,62;1245,56;3677
12295;11,60;1245,37;3715
12296;11,59;1245,18;3672
12297;11,60;1245,50;3687
12298;11,60;1245,23;3709
12299;11,60;1245,37;3662
12300;11,62;1245,83;3671
12301;11,60;1245,64;3699
12302;11,60;1245,23;3662
12303;11,60;1245,23;3667
12304;11,60;1245,64;3650
12305;11,60;1245,78;3655
12306;11,60;1245,37;3696
12307;11,60;1245,37;3664
12308;11,60;1245,78;3669
12309;11,60;1245,64;3696
12310;11,60;1245,64;3643
12311;11,60;1245,91;3678
12312;11,60;1245,64;3681
12313;11,60;1245,64;3683
12314;11,60;1245,78;3679
12315;11,60;1245,78;3702
12316;11,60;1245,78;3670
12317;11,60;1245,91;3673
12318;11,60;1245,50;3743
12319;11,60;1245,37;3664
12320;11,62;1246,37;3616
12321;11,60;1246,59;3689
